"MF_name","CD4_Tcell","NK_cell","M2","M1","DC_cell","T_helper","Treg","CD8_Tcell","memory_CD8T","B_memory"
"RAB13","5.395846","5.9105245","11.375697","11.0537195","11.329464","8.637569","5.372751","6.272332","8.3406725","10.340555"
"HEATR5A","5.455019","6.327396","8.679389","7.950311","9.7209675","4.757146","3.38103","5.695381","4.3132705","4.8990815"
"WDR60","5.590317","4.6773645","4.366129","4.740272","4.4980105","4.653372","8.833623","4.737948","7.468715","7.290021"
"CAPG","5.510102","6.1825365","12.59117","12.619856","11.346786","7.51019","6.1506895","5.991764","6.052836","8.803246"
"HLA-DRB4","7.706697","10.620026","13.482304","13.648755","12.894876","8.372785","10.962245","9.402062","11.869862","12.488736"
"HPX","7.078783","6.3237275","6.237331","6.7691045","6.224619","6.479068","5.16681","6.404921","4.799095","4.775065"
"GBA","5.933862","6.752698","9.917226","10.2255145","9.503483","7.20511","5.7371685","6.611301","5.98651","6.0874105"
"THOC7","5.730315","4.879711","5.196014","5.1322105","5.684543","5.217868","8.4282945","4.510329","7.18077","8.4586295"
"RARRES3","8.885962","10.626395","4.659404","10.458919","5.363241","8.214705","9.2806375","9.559175","11.044761","8.061733"
"ANKLE1","4.187845","4.009065","4.071428","4.192376","4.7247615","5.077167","5.762253","4.225399","6.298672","9.0265755"
"CSTA","3.743227","4.356092","10.941822","11.6044275","10.5997935","4.856047","4.085558","7.117168","3.705225","3.4722265"
"ANO6","6.923053","8.8587535","10.057233","9.94983","10.174455","8.220762","6.0597615","8.805541","7.553664","7.051791"
"CCDC174","5.951046","7.0526785","6.809052","5.854625","6.6983235","5.363624","8.901443","5.041531","8.3107325","9.5984065"
"EOMES","5.337749","10.39192","4.039015","4.934577","4.3232115","6.015573","4.193705","6.463791","8.3520375","3.618359"
"H2BFS","5.683247","7.867963","8.451304","9.536084","10.0666675","5.996456","11.4569925","6.82297","11.6432135","11.932303"
"ATP10D","4.058387","8.0937275","8.417353","8.55862","8.0299025","5.01614","4.2152775","5.965356","4.4034025","7.191671"
"ELOF1","7.737878","8.028159","8.019764","7.891337","7.7239225","8.513714","10.192649","8.158525","10.1332715","10.4306125"
"PTGDR2","4.098606","3.8213665","4.635075","4.828573","4.3250785","4.388263","6.7376825","4.499255","6.1803115","6.019998"
"ETV3","5.073835","5.0927825","4.57763","5.0715475","5.335234","4.511197","8.9040605","4.650541","7.224229","5.9559865"
"NDUFA2","6.125855","5.650536","6.399204","5.9188055","6.33536","6.186062","9.5304855","5.562683","9.7444495","10.3582595"
"MSRA","7.369983","7.1738235","8.943868","8.4950015","8.74045","7.280768","3.5276355","7.703303","5.4578465","7.263049"
"MLLT1","3.352543","3.186277","4.003347","3.969349","3.6324015","3.983181","7.165207","3.837666","5.78725","5.9231665"
"SPNS1","6.154291","7.1340745","9.415653","8.8087705","9.173047","6.785694","6.753383","7.15557","7.036695","5.9849995"
"DOCK7","5.393621","6.2904135","9.078478","8.4524655","9.353042","7.080293","3.6498145","6.583546","4.4241615","5.6770805"
"ELAC2","4.431068","4.3802265","4.451393","5.0080975","4.1994355","4.993647","8.7861815","4.628185","8.549233","6.70971"
"INPP5K","7.050174","7.8544695","7.151006","7.164997","7.305502","7.121474","5.5871395","7.805613","5.700113","4.546563"
"PTENP1","5.476013","4.043185","3.742479","3.734501","4.155577","3.55533","8.13551","3.511402","8.4504895","8.5638835"
"SMCO4","5.085998","5.942199","10.56619","11.4219605","10.575849","8.555387","4.269216","4.939187","3.8572155","7.3634385"
"NEU1","6.597941","7.783211","10.840341","10.1946095","10.492542","7.151521","9.101462","5.604931","6.545588","7.4017475"
"HIST1H2BH","3.933678","5.823254","6.036248","7.1095395","7.959007","5.675526","9.2445995","5.803587","10.5935095","11.945355"
"GPATCH11","3.080319","3.530696","3.879266","3.712331","3.726121","3.924362","6.536275","3.929478","5.737707","9.4716805"
"SLC22A15","4.722758","6.0918905","8.260186","6.979998","7.1492375","4.070812","3.5014595","4.758338","3.49631","4.085639"
"TCEAL9","4.639184","5.3328185","9.615182","9.7549305","9.932887","6.112892","3.412357","4.334213","3.25376","5.490953"
"ALAS1","5.895454","7.4177795","10.78295","12.845607","11.650271","9.107544","6.3995775","6.779644","6.097326","7.776798"
"CD276","5.976765","5.444027","8.324014","9.764774","9.4933405","7.043245","4.8216545","6.283581","4.3294615","4.0918325"
"SCFV","6.201943","6.2126705","6.34796","6.5836905","6.2550975","6.67352","7.5143385","6.447997","7.064036","11.275766"
"TIGIT","5.529723","8.394032","4.521927","5.190905","4.5680405","5.999689","10.6410075","5.041566","8.093487","5.7711065"
"ZNF414","3.801463","3.5672995","4.512484","4.911334","4.306962","4.976265","7.0204325","4.702749","7.7261395","7.642912"
"NAPG","5.439309","6.7242735","6.421603","6.536242","6.6109645","6.440584","9.842834","5.326897","8.645362","9.326666"
"HLA-DRB5","7.878823","9.9133695","13.581928","13.82148","13.0450925","7.889211","11.496042","9.344215","11.5078065","13.3923565"
"TH2LCRR","3.885744","3.180645","3.371428","3.261427","3.7038245","3.385816","4.106887","2.88034","5.061786","7.3343265"
"SEM1","9.903028","9.689431","10.047913","10.0162925","10.2818645","9.830976","12.0267725","9.113864","10.408001","12.799104"
"SGMS2","2.782128","3.2813095","7.928396","5.8308065","6.7452955","3.065477","3.0245345","3.070559","2.483843","2.7678365"
"MARVELD1","5.649835","6.1147895","9.101926","7.2639805","8.597803","6.800014","5.3199915","6.490143","5.384622","6.1883725"
"HSF2","3.932377","4.2413075","3.858387","3.3358465","3.157976","3.826853","7.514953","4.073721","8.2975885","7.7290605"
"HMMR-AS1","4.830134","3.8399235","3.453279","3.469138","3.38313","4.232413","4.000673","3.515556","3.738425","8.9607915"
"TRPC4AP","6.352502","6.827378","7.827394","8.0219865","7.385305","7.389749","5.65847","6.920211","5.7710285","5.1630075"
"PAF1","7.992494","7.496362","7.322516","7.1478145","7.3589965","8.760152","10.499652","7.919471","9.557583","11.032288"
"UBE2V1","7.690724","9.391249","9.19214","9.412523","9.4275","9.078623","11.6768595","8.061202","11.489876","11.381414"
"ZBED2","4.863492","4.3975185","3.953602","4.6056265","3.92017","10.445505","9.067271","3.927789","7.1598165","10.2817525"
"DNAJC19","8.448066","8.6780255","8.428269","7.930702","8.40897","8.627419","11.08907","8.304232","9.866303","11.029163"
"SERPINA9","7.773401","6.732302","6.73352","6.917764","6.2783795","7.2157","5.305065","6.84012","4.575987","4.4509385"
"LENG8","7.351675","7.4446585","8.182928","6.429176","6.036982","6.094201","9.4042095","7.334768","12.0595725","10.5872975"
"ANP32A","6.338271","8.572091","7.955247","7.1972635","8.577786","6.164681","9.733343","4.02935","9.034516","10.863782"
"HS1BP3","6.911504","7.042546","9.004529","8.6155955","7.915947","6.783939","5.383752","7.168135","5.780583","5.3150065"
"LOC100996740","11.598058","10.7117585","8.39051","8.3319495","8.7042805","9.453903","12.553512","12.134033","12.939862","10.856267"
"ADGRE2","3.456435","4.9101255","9.064463","7.746665","8.770914","3.629148","3.422608","3.953149","2.97446","3.6929085"
"CDKN1A","6.796682","7.284822","11.211437","11.2816825","11.443561","7.459308","10.4121185","6.161578","5.7863285","9.8412005"
"HIST1H2AD","4.443746","5.0101095","5.137854","5.732959","5.91854","5.46323","8.9176605","5.293305","8.6855415","10.577908"
"WDR6","9.05114","8.3832135","9.166837","7.4619305","8.790712","9.490882","10.5493385","9.843879","11.023761","11.397984"
